result_cnt,update_rcv,update_sent,crit_update_cnt,avg_adpt_time,success_adpt_cnt,total_updates,violated_updates,localReplacement,localRecompose,parentReplacement,globalRecompose
2145,2073,2073,474,4.0,0,2073,1612,0,0,0,0
"",acc,agg_from
00:55:00,0.9903043610086036,76
01:55:00,1.0,82
02:55:00,0.9603337646341463,82
03:55:00,0.9278329281190458,82
04:55:00,0.42439124647152227,82
05:55:00,0.6862091784810121,79
06:55:00,0.6520370572817674,78
07:55:00,0.732923877800627,80
08:55:00,0.7708088185344278,78
09:55:00,0.7629270966426169,79
10:55:00,0.8385119733817972,75
11:55:00,0.7421827394833191,69
12:55:00,0.6691097792222036,75
13:55:00,0.5153580950454315,69
14:55:00,0.4321798949870535,72
15:55:00,0.3915947855917335,76
16:55:00,0.4110223103177984,81
17:55:00,0.4751558188232046,81
18:55:00,0.4484319101512559,81
19:55:00,0.5646918629204658,81
20:55:00,0.4729242892604252,78
21:55:00,0.6802962244296586,79
22:55:00,0.8054894840397194,79
23:55:00,0.9171086171434429,81
