result_cnt,update_rcv,update_sent,crit_update_cnt,avg_adpt_time,success_adpt_cnt,total_updates,violated_updates,localReplacement,localRecompose,parentReplacement,globalRecompose
867,2071,2071,23,3137,23,2071,0,0,0,0,0
,acc,agg_from,,,,,,,,,
00:55:00,0.989473684,76,,,,,,,,,
01:55:00,0.954300393,82,,,,,,,,,
02:55:00,0.931835685,82,,,,,,,,,
03:55:00,0.943132228,82,,,,,,,,,
04:55:00,0.957188709,82,,,,,,,,,
05:55:00,0.959693538,79,,,,,,,,,
06:55:00,0.989873419,79,,,,,,,,,
07:55:00,0.93684211,79,,,,,,,,,
08:55:00,0.98846154,78,,,,,,,,,
09:55:00,0.979213859,79,,,,,,,,,
10:55:00,0.998807017,75,,,,,,,,,
11:55:00,1,69,,,,,,,,,
12:55:00,0.956701759,75,,,,,,,,,
13:55:00,0.951716252,69,,,,,,,,,
14:55:00,0.995175439,72,,,,,,,,,
15:55:00,0.964421049,75,,,,,,,,,
16:55:00,0.968161143,81,,,,,,,,,
17:55:00,0.951916832,81,,,,,,,,,
18:55:00,0.939246267,81,,,,,,,,,
19:55:00,0.94944769,81,,,,,,,,,
20:55:00,0.941700405,78,,,,,,,,,
21:55:00,0.977462886,78,,,,,,,,,
22:55:00,0.994003996,79,,,,,,,,,
23:55:00,0.99265757,81,,,,,,,,,
