result_cnt,update_rcv,update_sent,crit_update_cnt,avg_adpt_time,success_adpt_cnt,total_updates,violated_updates,localReplacement,localRecompose,parentReplacement,globalRecompose
1487,2069,2069,17,3243.0,17,2069,0,0,0,0,0
"",acc,agg_from
00:55:00,1.0,76
01:55:00,0.9890243902439023,82
02:55:00,0.9856867804878049,82
03:55:00,0.993112412345679,81
04:55:00,1.0,82
05:55:00,1.0,79
06:55:00,0.9499325205128206,78
07:55:00,0.99453947375,80
08:55:00,0.9372469602564104,78
09:55:00,0.961825450632911,79
10:55:00,0.9555087733333333,75
11:55:00,0.9276125101449275,69
12:55:00,0.9777543826666666,75
13:55:00,0.9852784159420288,69
14:55:00,0.9865497083333334,72
15:55:00,0.9628771959999994,75
16:55:00,0.9784275543209879,81
17:55:00,0.9574398987654321,81
18:55:00,0.9418453555555558,81
19:55:00,0.9622482098765431,81
20:55:00,0.9572199692307689,78
21:55:00,0.9493004683544306,79
22:55:00,0.9650472333333334,78
23:55:00,0.9775178703703704,81
