result_cnt,update_rcv,update_sent,crit_update_cnt,avg_adpt_time,success_adpt_cnt,total_updates,violated_updates,localReplacement,localRecompose,parentReplacement,globalRecompose
1478,2084,2084,15,927.0,15,2084,0,3,0,8,4
"",acc,agg_from
00:55:00,0.991176960639573,76
01:55:00,1.0,82
02:55:00,0.9610397975609755,82
03:55:00,0.9230455503343281,82
04:55:00,0.8779625802327778,83
05:55:00,0.9047906594496883,79
06:55:00,0.885398800075816,78
07:55:00,0.9674182169691953,80
08:55:00,0.8901228148771322,78
09:55:00,0.8553054572645116,79
10:55:00,0.8583494317841447,83
11:55:00,0.8991670922063066,70
12:55:00,0.8744792832920241,74
13:55:00,0.8621551069405663,69
14:55:00,0.8732588088481898,73
15:55:00,0.8564911030985217,76
16:55:00,0.8878020772571529,81
17:55:00,0.9266840726714376,81
18:55:00,0.9331287260420909,81
19:55:00,0.9417748841154996,81
20:55:00,0.939649296807444,78
21:55:00,0.8763585622924956,79
22:55:00,0.8693224548376678,79
23:55:00,0.8739486045328944,81
