time,message_cnt,byte_cnt
02:07:06,1,462
02:07:11,2,924
02:07:16,3,1385
02:07:21,4,1847
02:07:26,5,2309
02:07:31,6,2771
02:07:36,7,3232
02:07:41,8,3693
02:07:46,9,4155
02:07:52,10,4617
02:07:57,11,5078
02:08:02,12,5527
02:08:07,13,5976
02:08:12,14,6425
02:08:17,15,6887
02:08:22,16,7348
02:08:27,17,7810
02:08:32,18,8271
02:08:37,19,8732
02:08:42,20,9194
02:08:47,21,9656
02:08:52,22,10118
02:08:57,23,10580
02:09:02,24,11041
02:09:07,25,11502
02:09:12,26,11964
02:09:18,27,12426
02:09:23,28,12888
02:09:28,29,13349
02:09:33,30,13810
02:09:38,31,14272
02:09:43,32,14733
02:09:48,33,15195
02:09:53,34,15657
02:09:58,35,16119
02:10:03,36,16581
02:10:08,37,17043
02:10:13,38,17504
02:10:18,39,17966
02:10:23,40,18427
02:10:28,41,18889
02:10:33,42,19351
02:10:38,43,19813
02:10:43,44,20275
02:10:49,45,20736
02:10:54,46,21198
02:10:59,47,21659
02:11:04,48,22120
02:11:09,49,22582
02:11:14,50,23044
02:11:19,51,23506
02:11:24,52,23967
02:11:29,53,24428
02:11:34,54,24890
02:11:39,55,25352
02:11:44,56,25814
02:11:49,57,26276
02:11:54,58,26738
02:11:59,59,27191
02:12:04,60,27652
02:12:10,61,28113
02:12:15,62,28575
02:12:20,63,29037
02:12:25,64,29499
02:12:30,65,29960
02:12:35,66,30422
02:12:40,67,30884
02:12:45,68,31346
02:12:50,69,31808
02:12:55,70,32269
02:13:00,71,32731
02:13:05,72,33193
02:13:10,73,33655
02:13:15,74,34117
02:13:20,75,34579
02:13:25,76,35040
02:13:30,77,35501
02:13:35,78,35963
02:13:41,79,36425
02:13:46,80,36887
02:13:51,81,37348
02:13:56,82,37810
02:14:01,83,38272
02:14:06,84,38734
02:14:11,85,39196
02:14:16,86,39658
02:14:21,87,40120
02:14:26,88,40581
02:14:31,89,41030
02:14:36,90,41492
02:14:41,91,41954
02:14:46,92,42416
02:14:51,93,42878
02:14:56,94,43340
02:15:01,95,43802
02:15:06,96,44264
02:15:12,97,44726
02:15:17,98,45188
02:15:22,99,45650
02:15:27,100,46112
02:15:32,101,46573
02:15:37,102,47034
02:15:42,103,47495
02:15:47,104,47957
02:15:52,105,48419
02:15:57,106,48881
02:16:02,107,49343
02:16:07,108,49805
02:16:12,109,50266
02:16:17,110,50727
02:16:22,111,51189
02:16:27,112,51651
02:16:32,113,52113
02:16:37,114,52575
02:16:42,115,53036
02:16:48,116,53498
02:16:53,117,53960
02:16:58,118,54422
02:17:03,119,54875
02:17:08,120,55337
02:17:13,121,55799
02:17:18,122,56261
02:17:23,123,56711
02:17:28,124,57173
02:17:33,125,57622
02:17:38,126,58084
02:17:43,127,58545
02:17:48,128,59006
02:17:53,129,59468
02:17:58,130,59929
02:18:03,131,60391
02:18:09,132,60852
02:18:14,133,61314
02:18:19,134,61776
02:18:24,135,62238
02:18:29,136,62700
02:18:34,137,63162
02:18:39,138,63624
02:18:44,139,64086
02:18:49,140,64548
02:18:54,141,65010
02:18:59,142,65472
02:19:04,143,65925
02:19:09,144,66387
02:19:14,145,66849
02:19:19,146,67311
02:19:24,147,67773
02:19:29,148,68235
02:19:35,149,68697
02:19:40,150,69159
02:19:45,151,69621
02:19:50,152,70083
02:19:55,153,70545
02:20:00,154,71007
02:20:05,155,71460
02:20:10,156,71922
02:20:15,157,72384
02:20:20,158,72846
02:20:25,159,73308
02:20:30,160,73769
02:20:35,161,74230
02:20:40,162,74691
02:20:45,163,75152
02:20:50,164,75613
02:20:55,165,76074
02:21:00,166,76535
02:21:06,167,76996
02:21:11,168,77457
02:21:16,169,77918
02:21:21,170,78379
02:21:26,171,78840
02:21:31,172,79301
02:21:36,173,79762
02:21:41,174,80223
02:21:46,175,80685
02:21:51,176,81147
02:21:56,177,81609
02:22:01,178,82071
02:22:06,179,82533
02:22:11,180,82995
02:22:16,181,83457
02:22:21,182,83919
02:22:26,183,84381
02:22:31,184,84843
02:22:37,185,85305
02:22:42,186,85767
02:22:47,187,86229
02:22:52,188,86691
02:22:57,189,87153
02:23:02,190,87615
02:23:07,191,88077
02:23:12,192,88539
02:23:17,193,89001
02:23:22,194,89463
02:23:27,195,89916
02:23:32,196,90377
02:23:37,197,90838
02:23:42,198,91300
02:23:47,199,91762
02:23:52,200,92224
02:23:57,201,92677
02:24:03,202,93130
02:24:08,203,93583
02:24:13,204,94045
02:24:18,205,94506
