time,message_cnt,byte_cnt
02:07:11,1,2939
02:07:16,1,2939
02:07:21,2,5906
02:07:26,3,8872
02:07:31,4,11841
02:07:36,5,14822
02:07:41,6,17788
02:07:46,7,20768
02:07:51,8,23732
02:07:57,9,26687
02:08:02,10,29654
02:08:07,11,32605
02:08:12,12,35559
02:08:17,13,38514
02:08:22,14,41467
02:08:27,15,44423
02:08:32,16,47377
02:08:37,17,50342
02:08:42,18,53296
02:08:47,19,56274
02:08:52,20,59240
02:08:57,21,62206
02:09:02,22,65173
02:09:07,23,68140
02:09:12,24,71104
02:09:18,25,74070
02:09:23,26,77009
02:09:28,27,79962
02:09:33,28,82929
02:09:38,29,85895
02:09:43,30,88874
02:09:48,31,91853
02:09:53,32,94818
02:09:58,33,97785
02:10:03,34,100738
02:10:08,35,103690
02:10:13,36,106629
02:10:18,37,109582
02:10:23,38,112533
02:10:28,39,115499
02:10:33,40,118477
02:10:38,41,121444
02:10:43,42,124397
02:10:49,43,127364
02:10:54,44,130317
02:10:59,45,133296
02:11:04,46,136276
02:11:09,47,139230
02:11:14,48,142198
02:11:19,49,145151
02:11:24,50,148116
02:11:29,51,151069
02:11:34,52,154034
02:11:39,53,156999
02:11:44,54,159951
02:11:49,55,162916
02:11:54,56,165883
02:11:59,57,168850
02:12:04,58,171816
02:12:10,59,174773
02:12:15,60,177738
02:12:20,61,180691
02:12:25,62,183646
02:12:30,63,186601
02:12:35,64,189567
02:12:40,65,192531
02:12:45,66,195498
02:12:50,67,198464
02:12:55,68,201417
02:13:00,69,204383
02:13:05,70,207337
02:13:10,71,210292
02:13:15,72,213258
02:13:20,73,216224
02:13:25,74,219204
02:13:30,75,222169
02:13:35,76,225147
02:13:41,77,228126
02:13:46,78,231106
02:13:51,79,234085
02:13:56,80,237039
02:14:01,81,239992
02:14:06,82,242959
02:14:11,83,245925
02:14:16,84,248869
02:14:21,85,251823
02:14:26,86,254775
02:14:31,87,257716
02:14:36,88,260656
02:14:41,89,263596
02:14:46,90,266563
02:14:51,91,269528
02:14:56,92,272481
02:15:01,93,275461
02:15:06,94,278417
02:15:12,95,281387
02:15:17,96,284368
02:15:22,97,287335
02:15:27,98,290301
02:15:32,99,293268
02:15:37,100,296235
02:15:42,101,299200
02:15:47,102,302166
02:15:52,103,305118
02:15:57,104,308085
02:16:02,105,311038
02:16:07,106,314005
02:16:12,107,316959
02:16:17,108,319901
02:16:22,109,322853
02:16:27,110,325804
02:16:32,111,328770
02:16:37,112,331735
02:16:42,113,334701
02:16:48,114,337667
02:16:53,115,340633
02:16:58,116,343614
02:17:03,117,346595
02:17:08,118,349576
02:17:13,119,352548
02:17:18,120,355529
02:17:23,121,358495
02:17:28,122,361461
02:17:33,123,364428
02:17:38,124,367407
02:17:43,125,370375
02:17:48,126,373355
02:17:53,127,376319
02:17:58,128,379285
02:18:03,129,382251
02:18:09,130,385217
02:18:14,131,388184
02:18:19,132,391150
02:18:24,133,394131
02:18:29,134,397108
02:18:34,135,400086
02:18:39,136,403051
02:18:44,137,406028
02:18:49,138,408994
02:18:54,139,411959
02:18:59,140,414924
02:19:04,141,417888
02:19:09,142,420866
02:19:14,143,423835
02:19:19,144,426801
02:19:24,145,429767
02:19:29,146,432732
02:19:35,147,435698
02:19:40,148,438676
02:19:45,149,441654
02:19:50,150,444632
02:19:55,151,447610
02:20:00,152,450588
02:20:05,153,453566
02:20:10,154,456544
02:20:15,155,459513
02:20:20,156,462491
02:20:25,157,465469
02:20:30,158,468447
02:20:35,159,471424
02:20:40,160,474400
02:20:45,161,477364
02:20:50,162,480328
02:20:55,163,483292
02:21:00,164,486256
02:21:06,165,489220
02:21:11,166,492196
02:21:16,167,495172
02:21:21,168,498148
02:21:26,169,501124
02:21:31,170,504100
02:21:36,171,507076
02:21:41,172,510052
