time,message_cnt,byte_cnt
02:07:06,1,976
02:07:12,2,1951
02:07:17,3,2927
02:07:22,4,3903
02:07:27,5,4879
02:07:32,6,5854
02:07:37,7,6830
02:07:43,8,7806
02:07:48,9,8782
02:07:53,10,9758
02:07:58,11,10735
02:08:03,12,11711
02:08:08,13,12687
02:08:13,14,13663
02:08:18,15,14639
02:08:23,16,15615
02:08:28,17,16592
02:08:33,18,17567
02:08:38,19,18543
02:08:43,20,19519
02:08:48,21,20494
02:08:53,22,21470
02:08:59,23,22447
02:09:04,24,23422
02:09:09,25,24398
02:09:14,26,25374
02:09:19,27,26350
02:09:24,28,27326
02:09:29,29,28302
02:09:34,30,29276
02:09:39,31,30251
02:09:44,32,31228
02:09:49,33,32205
02:09:54,34,33181
02:09:59,35,34158
02:10:04,36,35134
02:10:09,37,36110
02:10:14,38,37086
02:10:19,39,38063
02:10:25,40,39039
02:10:30,41,40015
02:10:35,42,40989
02:10:40,43,41966
02:10:45,44,42943
02:10:50,45,43919
02:10:55,46,44895
02:11:00,47,45870
02:11:05,48,46846
02:11:10,49,47822
02:11:15,50,48799
02:11:20,51,49775
02:11:25,52,50752
02:11:30,53,51728
02:11:36,54,52703
02:11:41,55,53680
02:11:46,56,54657
02:11:51,57,55634
02:11:56,58,56610
02:12:01,59,57586
02:12:06,60,58562
02:12:11,61,59539
02:12:16,62,60515
02:12:21,63,61491
02:12:26,64,62467
02:12:31,65,63444
02:12:36,66,64420
02:12:41,67,65396
02:12:46,68,66371
02:12:51,69,67346
02:12:56,70,68322
02:13:02,71,69298
02:13:07,72,70275
02:13:12,73,71250
02:13:17,74,72225
02:13:22,75,73201
02:13:27,76,74178
02:13:32,77,75153
02:13:37,78,76130
02:13:42,79,77106
02:13:47,80,78082
02:13:52,81,79058
02:13:57,82,80035
02:14:02,83,81012
02:14:07,84,81987
02:14:12,85,82963
02:14:17,86,83939
02:14:22,87,84914
02:14:28,88,85890
02:14:33,89,86864
02:14:38,90,87838
02:14:43,91,88815
02:14:48,92,89791
02:14:53,93,90767
02:14:58,94,91741
02:15:03,95,92717
02:15:08,96,93693
02:15:13,97,94669
02:15:18,98,95645
02:15:23,99,96621
02:15:28,100,97598
