time,message_cnt,byte_cnt
03:08:57,1,449
03:09:02,2,911
03:09:08,3,1373
03:09:13,4,1834
03:09:18,5,2296
03:09:23,6,2758
03:09:28,7,3220
03:09:33,8,3668
03:09:38,9,4118
03:09:43,10,4579
03:09:48,11,5027
03:09:53,12,5476
03:09:58,13,5938
03:10:03,14,6400
03:10:08,15,6849
03:10:13,16,7311
03:10:18,17,7773
03:10:23,18,8221
03:10:28,19,8682
03:10:33,20,9144
03:10:38,21,9606
03:10:43,22,10068
03:10:48,23,10530
03:10:53,24,10991
03:10:58,25,11453
03:11:03,26,11914
03:11:08,27,12376
03:11:13,28,12838
03:11:18,29,13300
03:11:23,30,13762
03:11:28,31,14223
03:11:33,32,14684
03:11:38,33,15146
03:11:43,34,15608
03:11:48,35,16056
03:11:53,36,16504
03:11:58,37,16966
03:12:03,38,17414
03:12:09,39,17876
03:12:14,40,18337
03:12:19,41,18799
03:12:24,42,19247
03:12:29,43,19709
03:12:34,44,20170
03:12:39,45,20632
03:12:44,46,21094
03:12:49,47,21543
03:12:54,48,22005
03:12:59,49,22453
03:13:04,50,22914
03:13:09,51,23375
03:13:14,52,23837
03:13:19,53,24299
03:13:24,54,24761
03:13:29,55,25222
03:13:34,56,25684
03:13:39,57,26146
03:13:44,58,26607
03:13:49,59,27069
03:13:54,60,27530
03:13:59,61,27980
03:14:04,62,28430
03:14:09,63,28892
03:14:14,64,29353
03:14:19,65,29814
03:14:24,66,30276
03:14:29,67,30724
03:14:34,68,31172
03:14:39,69,31634
03:14:44,70,32096
03:14:49,71,32546
03:14:54,72,33007
03:14:59,73,33468
03:15:04,74,33930
03:15:09,75,34392
03:15:14,76,34854
03:15:19,77,35316
03:15:24,78,35778
03:15:29,79,36240
03:15:34,80,36689
03:15:39,81,37138
03:15:44,82,37600
03:15:49,83,38062
03:15:54,84,38512
03:15:59,85,38973
03:16:04,86,39434
03:16:09,87,39882
03:16:14,88,40344
03:16:19,89,40792
03:16:24,90,41254
03:16:29,91,41715
03:16:34,92,42164
03:16:39,93,42626
03:16:44,94,43074
03:16:49,95,43536
03:16:54,96,43998
03:16:59,97,44460
03:17:04,98,44922
03:17:09,99,45384
03:17:14,100,45846
03:17:19,101,46307
03:17:24,102,46769
03:17:29,103,47217
03:17:34,104,47679
03:17:39,105,48141
03:17:44,106,48603
03:17:49,107,49065
03:17:54,108,49514
03:17:59,109,49976
03:18:04,110,50438
03:18:09,111,50900
03:18:14,112,51362
03:18:19,113,51824
03:18:24,114,52286
03:18:29,115,52748
03:18:34,116,53210
03:18:39,117,53672
03:18:44,118,54134
03:18:49,119,54596
03:18:54,120,55058
03:18:59,121,55520
03:19:04,122,55982
03:19:09,123,56444
03:19:14,124,56906
03:19:19,125,57368
03:19:24,126,57830
03:19:29,127,58277
03:19:34,128,58725
03:19:39,129,59173
03:19:44,130,59621
03:19:50,131,60069
03:19:55,132,60517
03:20:00,133,60979
03:20:05,134,61441
03:20:10,135,61903
03:20:15,136,62365
03:20:20,137,62826
03:20:25,138,63287
03:20:30,139,63748
03:20:35,140,64209
03:20:40,141,64657
03:20:45,142,65118
03:20:50,143,65579
03:20:55,144,66028
03:21:00,145,66477
03:21:05,146,66926
03:21:10,147,67375
03:21:15,148,67836
03:21:20,149,68297
03:21:25,150,68758
03:21:30,151,69219
03:21:35,152,69680
03:21:40,153,70141
03:21:45,154,70602
03:21:50,155,71063
03:21:55,156,71524
03:22:00,157,71985
03:22:05,158,72446
03:22:10,159,72907
03:22:15,160,73368
03:22:20,161,73829
03:22:25,162,74290
03:22:30,163,74751
03:22:35,164,75212
03:22:40,165,75673
03:22:45,166,76133
03:22:50,167,76593
03:22:55,168,77053
03:23:00,169,77513
03:23:05,170,77973
03:23:10,171,78433
03:23:15,172,78893
03:23:20,173,79353
03:23:25,174,79813
03:23:30,175,80273
03:23:35,176,80733
03:23:40,177,81193
03:23:45,178,81653
03:23:50,179,82113
03:23:55,180,82573
03:24:00,181,83033
03:24:05,182,83494
03:24:10,183,83955
03:24:15,184,84416
03:24:20,185,84877
03:24:25,186,85338
03:24:30,187,85799
03:24:35,188,86260
03:24:40,189,86721
03:24:45,190,87182
03:24:50,191,87643
03:24:55,192,88104
03:25:00,193,88565
03:25:05,194,89026
03:25:10,195,89488
03:25:15,196,89935
03:25:20,197,90382
03:25:25,198,90829
03:25:30,199,91276
03:25:35,200,91723
03:25:40,201,92170
03:25:45,202,92617
03:25:50,203,93064
03:25:55,204,93511
03:26:00,205,93972
03:26:05,206,94433
03:26:10,207,94895
03:26:15,208,95357
03:26:20,209,95819
03:26:25,210,96267
03:26:30,211,96715
03:26:35,212,97177
03:26:41,213,97639
03:26:46,214,98101
03:26:51,215,98563
03:26:56,216,99025
03:27:01,217,99487
03:27:06,218,99949
03:27:11,219,100411
03:27:16,220,100873
03:27:21,221,101334
03:27:26,222,101796
03:27:31,223,102257
03:27:36,224,102719
03:27:41,225,103181
03:27:46,226,103643
03:27:51,227,104104
03:27:56,228,104552
03:28:01,229,105014
03:28:06,230,105462
03:28:11,231,105924
03:28:16,232,106386
03:28:21,233,106848
03:28:26,234,107310
03:28:31,235,107758
03:28:36,236,108206
03:28:41,237,108667
03:28:46,238,109128
03:28:51,239,109576
03:28:56,240,110037
03:29:01,241,110498
03:29:06,242,110960
03:29:11,243,111422
03:29:16,244,111870
03:29:21,245,112318
03:29:26,246,112766
03:29:31,247,113228
03:29:36,248,113676
03:29:41,249,114138
03:29:46,250,114586
03:29:51,251,115048
03:29:56,252,115510
03:30:01,253,115972
03:30:06,254,116420
03:30:11,255,116868
03:30:16,256,117330
03:30:21,257,117791
03:30:26,258,118239
03:30:31,259,118701
03:30:36,260,119150
03:30:41,261,119599
03:30:46,262,120061
03:30:51,263,120523
03:30:56,264,120971
03:31:01,265,121433
03:31:06,266,121895
03:31:11,267,122357
03:31:16,268,122819
03:31:21,269,123268
03:31:26,270,123716
03:31:31,271,124164
03:31:36,272,124612
03:31:41,273,125073
03:31:46,274,125521
03:31:51,275,125983
03:31:56,276,126445
03:32:01,277,126893
03:32:06,278,127355
03:32:11,279,127816
03:32:16,280,128278
03:32:21,281,128740
03:32:26,282,129188
03:32:31,283,129650
03:32:36,284,130112
03:32:41,285,130574
03:32:46,286,131036
03:32:51,287,131498
03:32:56,288,131960
03:33:01,289,132422
