time,message_cnt,byte_cnt
03:08:57,1,456
03:09:02,2,912
03:09:07,3,1367
03:09:12,4,1823
03:09:17,5,2279
03:09:22,6,2735
03:09:27,7,3190
03:09:32,8,3645
03:09:37,9,4101
03:09:42,10,4557
03:09:47,11,5012
03:09:52,12,5455
03:09:57,13,5898
03:10:02,14,6341
03:10:07,15,6797
03:10:12,16,7252
03:10:17,17,7708
03:10:22,18,8163
03:10:27,19,8618
03:10:32,20,9074
03:10:37,21,9530
03:10:42,22,9986
03:10:47,23,10442
03:10:52,24,10897
03:10:57,25,11352
03:11:02,26,11808
03:11:07,27,12264
03:11:12,28,12720
03:11:17,29,13175
03:11:22,30,13630
03:11:27,31,14086
03:11:32,32,14541
03:11:37,33,14997
03:11:42,34,15453
03:11:47,35,15909
03:11:52,36,16365
03:11:57,37,16821
03:12:02,38,17276
03:12:07,39,17732
03:12:12,40,18187
03:12:17,41,18643
03:12:22,42,19099
03:12:27,43,19555
03:12:32,44,20011
03:12:37,45,20466
03:12:42,46,20922
03:12:47,47,21377
03:12:52,48,21832
03:12:57,49,22288
03:13:02,50,22744
03:13:07,51,23200
03:13:12,52,23655
03:13:17,53,24110
03:13:22,54,24566
03:13:27,55,25022
03:13:32,56,25478
03:13:37,57,25934
03:13:42,58,26390
03:13:47,59,26837
03:13:52,60,27292
03:13:58,61,27747
03:14:03,62,28203
03:14:08,63,28659
03:14:13,64,29115
03:14:18,65,29570
03:14:23,66,30026
03:14:28,67,30482
03:14:33,68,30938
03:14:38,69,31394
03:14:43,70,31849
03:14:48,71,32305
03:14:53,72,32761
03:14:58,73,33217
03:15:03,74,33673
03:15:08,75,34129
03:15:13,76,34584
03:15:18,77,35039
03:15:23,78,35495
03:15:28,79,35951
03:15:33,80,36407
03:15:38,81,36862
03:15:43,82,37318
03:15:48,83,37774
03:15:53,84,38230
03:15:58,85,38686
03:16:03,86,39142
03:16:08,87,39598
03:16:13,88,40053
03:16:18,89,40496
03:16:23,90,40952
03:16:28,91,41408
03:16:33,92,41864
03:16:38,93,42320
03:16:43,94,42776
03:16:48,95,43232
03:16:53,96,43688
03:16:58,97,44144
03:17:03,98,44600
03:17:08,99,45056
03:17:13,100,45512
03:17:18,101,45967
03:17:23,102,46422
03:17:28,103,46877
03:17:33,104,47333
03:17:38,105,47789
03:17:43,106,48245
03:17:48,107,48701
03:17:53,108,49157
03:17:58,109,49612
03:18:03,110,50067
03:18:08,111,50523
03:18:13,112,50979
03:18:18,113,51435
03:18:23,114,51891
03:18:28,115,52346
03:18:33,116,52802
03:18:38,117,53258
03:18:43,118,53714
03:18:48,119,54161
03:18:53,120,54617
03:18:58,121,55073
03:19:03,122,55529
03:19:08,123,55973
03:19:13,124,56429
03:19:18,125,56872
03:19:23,126,57328
03:19:28,127,57783
03:19:33,128,58238
03:19:38,129,58694
03:19:43,130,59149
03:19:48,131,59605
03:19:53,132,60060
03:19:58,133,60516
03:20:03,134,60972
03:20:08,135,61428
03:20:13,136,61884
03:20:18,137,62340
03:20:23,138,62796
03:20:28,139,63252
03:20:33,140,63708
03:20:38,141,64164
03:20:43,142,64620
03:20:48,143,65067
03:20:53,144,65523
03:20:58,145,65979
03:21:03,146,66435
03:21:08,147,66891
03:21:13,148,67347
03:21:18,149,67803
03:21:23,150,68259
03:21:28,151,68715
03:21:33,152,69171
03:21:38,153,69627
03:21:43,154,70083
03:21:48,155,70530
03:21:53,156,70986
03:21:58,157,71442
03:22:03,158,71898
03:22:08,159,72354
03:22:13,160,72809
03:22:18,161,73264
03:22:23,162,73719
03:22:28,163,74174
03:22:33,164,74629
03:22:38,165,75084
03:22:43,166,75539
03:22:48,167,75994
03:22:53,168,76449
03:22:58,169,76904
03:23:04,170,77359
03:23:09,171,77814
03:23:14,172,78269
