,min,avg,max
1,0.526405665,0.83783032,1
2,0.463879559,0.923083626,1
3,0.8,0.978445255,1
4,0.6526316,0.971884185,1
5,0.6789474,0.913723035,1
6,0.5894737,0.894061088,1
7,0.662271456,0.916315829,1
8,0.7105263,0.942504424,1
9,0.610692526,0.948990094,1
10,0.828033249,0.973618353,1
11,0.709030448,0.942446926,1
12,0.591689703,0.904332682,1
13,0.6842105,0.92889183,1
14,0.633241028,0.895772611,1
15,0.619390587,0.936574554,1
16,0.6578947,0.97642019,1
17,0.9052632,0.996934083,1
18,0.470860492,0.901518237,1
19,0.442084862,0.90265337,1
20,0.667922416,0.945456661,1
21,0.708033205,0.961297977,1
22,0.6,0.89667484,1
23,0.6157895,0.901043603,1
24,0.5842105,0.937555121,1
25,0.732963953,0.955160466,1
26,0.573806045,0.930150741,1
27,0.7105263,0.946537518,1
28,0.758556585,0.945640473,1
29,0.633490273,0.926539345,1
30,0.667036037,0.92495012,1
31,0.5263158,0.931898074,1
,,,
0.03872814,0.107980922,0.270015898,
