,min,avg,max
1,0.577463895,0.81367137,0.9736842
2,0.719609305,0.932124032,1
3,0.585850711,0.937439992,1
4,0.722768638,0.931638209,1
5,0.537506947,0.903542083,1
6,0.687241011,0.886993138,1
7,0.675350417,0.857142883,1
8,0.635457077,0.918717694,1
9,0.74842101,0.941344011,1
10,0.55756237,0.903440369,1
11,0.681387575,0.950623869,1
12,0.615977524,0.896240525,1
13,0.767969075,0.918341889,1
14,0.695213604,0.910206887,1
15,0.637429396,0.912316857,1
16,0.781163463,0.973713341,1
17,0.467622694,0.893254864,1
18,0.669015347,0.916245157,1
19,0.707263441,0.922927781,1
20,0.586894707,0.894849335,1
21,0.654585978,0.835145656,1
22,0.740332383,0.911712543,1
23,0.703047117,0.945378998,1
24,0.601108032,0.912262641,1
25,0.695113873,0.929062153,1
26,0.767867004,0.935230878,1
27,0.9,0.977056573,1
28,0.66286512,0.887584456,1
29,0.680609406,0.922664474,1
30,0.612600093,0.802804456,0.9894737
31,0.629019823,0.839827328,1
,,,
0.029402486,0.127894504,0.357877469,
