,min-latency,avg-latency,max-latency,memory,results,queries,observations
1,849.2333333,1443.909186,3088.059574,76.45930481,940,50,1160
2,2116.166667,3835.067144,5253.094208,82.47745387,1441,50,2926
3,3854.149606,4177.730195,5196.991886,83.57219315,1319,50,4675
4,4145.175481,4160.841775,5474.450593,85.49106852,1356,50,6442
5,7209.178028,7294.826216,8940.798828,88.99156125,1775,50,8228
6,3196.40404,3890.649625,4883.158774,89.86624654,1340,50,9999
7,5168.512397,5212.675354,6431.550505,94.76692581,1402,50,11775
8,3693.698492,3697.372865,5432.951389,94.46843465,1317,50,13543
9,6616.28125,8548.3476,10397.65565,98.76316643,1516,50,15320
10,7067.233333,10816.97849,13467.71769,101.1523705,1718,50,17116
11,9708.210526,17786.62748,22843.41938,112.1098054,1266,50,18884
12,28422.11111,33958.04166,48051.61974,128.306427,1378,50,20557
13,26472,40937.11436,59111.06944,154.7681143,72,36,22232
14,91392.625,92451.86472,103197.0986,174.6718119,1192,50,23998
,,,,,,,
4532,6842,,,,,,
9064,4584,,,,,,
13596,2484,,,,,,
18128,1436,,,,,,
22660,617,,,,,,
27192,379,,,,,,
31724,282,,,,,,
36256,287,,,,,,
40788,147,,,,,,
45320,171,,,,,,
49852,215,,,,,,
54384,142,,,,,,
58916,124,,,,,,
63448,137,,,,,,
67980,157,,,,,,
72512,76,,,,,,
77044,10,,,,,,
81576,11,,,,,,
86108,117,,,,,,
90640,1091,,,,,,
,0.354342535,,,,,,
