"",avg,min,max,bestUtility,t,gain
0.0,11.681337112710485,5.977542434761451,15.903272278709395,0.5552132151644584,1092.5,7.349094287993169
0.01,10.331366227075803,5.736171678595924,16.66475949221327,0.5552132151644584,1139.2333333333333,4.321405517593047
0.02,9.152404249300025,3.9032554418562184,17.31510409376931,0.5552132151644584,1489.6,3.157566556236427
0.03,7.4107883028951145,2.8559827689012214,14.428449443994502,0.5552132151644584,1755.8,1.8335762902359227
0.04,6.890423944452121,2.461502127963148,17.038148005722626,0.5552132151644584,2015.5,1.880435686814675
0.05,6.723932264163614,1.9695352847145748,15.2805413714783,0.5552132151644584,2170.266666666667,1.7821435991011962
0.06,5.852778891405124,1.7173148891057806,12.584972625222953,0.5552132151644584,2621.633333333333,1.2126611641189646
0.07,4.919838793239796,1.674748559730249,12.113457037150287,0.5552132151644584,3303.1666666666665,0.9811259605426349
0.08,4.398186984659152,1.5670990983357436,7.303385057039768,0.5552132151644584,3304.3333333333335,0.6881924050960971
0.09,4.178674419293947,1.4257676324598485,7.512441085819652,0.5552132151644584,3910.5333333333333,0.7426095238109536
0.1,3.885268669569767,1.7484497856844399,7.622692827590134,0.5552132151644584,3753.133333333333,0.7302374134797573
0.2,2.9740708131104,0.7680043068713963,6.618709717095849,0.5552132151644584,5957.566666666667,0.48983011423354345
0.5,2.253022183007055,0.9742070833956555,4.814895149540521,0.5552132151644584,6225.166666666667,0.3237753837782903
