"",avg,min,max,bestUtility,t,gain
40,3.847425759185027,3.0493148237088716,4.735644851786977,0.6022319023195484,3011.1666666666665,10.82374602566721
60,4.034567107545829,2.831823849236725,4.535216164263368,0.5995025389404403,3080.7,10.078192809960079
80,3.9327190500957503,3.2884617434202017,4.5011808734526,0.6072653691132163,3275.8333333333335,8.071199078140342
100,3.7888493726901724,3.1568164872047775,4.314301660926987,0.6049962768810705,3406.7,7.033592923349332
120,3.800784293859105,3.3121318248455287,4.199358214169336,0.6064375568114873,3571.5,6.73110614551393
140,3.4602478571782824,2.999747211886241,3.8994143970164217,0.6069293911812234,3862.133333333333,5.829302037394092
160,3.171503660601724,2.71876900009859,3.722858934848167,0.6206400447807794,4301.766666666666,5.515458384956751
180,2.81380664809597,2.3784512026472164,3.18763489173128,0.6072653691132163,4868.766666666666,4.559023123296445
200,2.7510860946720266,2.5150549232869213,3.021384610818318,0.6072653691132163,4998.733333333334,4.37510612644148
300,2.4231999342345265,2.0997453188726656,2.723510586672363,0.6072653691132163,5699.3,3.0194603896505106
500,1.9315705866227735,1.815741969725244,2.115532986607591,0.6072653691132163,7124.166666666667,1.9676384740703627
