"",p=100
0,0.4600069820072935
1,0.4632014895567398
2,0.4665105013837781
3,0.4705375671829811
4,0.4754257806341374
5,0.4810320901004171
6,0.4863291865943459
7,0.4917868299008781
8,0.4979481522202502
9,0.504536436108169
10,0.5120551637762363
11,0.5189014436527891
12,0.5267021183735788
13,0.5355715458013445
14,0.5405231793679727
15,0.5454796919604245
16,0.5493523313755979
17,0.5496883336269951
18,0.5490166909631105
19,0.550947014363204
20,0.5542441139504712
21,0.5593212884292758
22,0.5599151148661266
23,0.5683572911261934
24,0.5753118083320808
25,0.5761692471069925
26,0.5798432987366768
27,0.5850115694007919
"",10
